complaint_text,station,source,date,passenger_name,contact,complaint_type
"There was chewing gum stuck under almost every seat in the coach I traveled in this morning, quite unpleasant.",Mawaiya,Email,2026-07-04 17:15:24,Faraz Ahmad,9523938499,Cleanliness
The women's washroom at Alambagh station had no soap and the floor was flooded with water.,Alambagh,Helpline Call,2026-06-06 17:16:24,Priya Singh,9644854973,Cleanliness
Empty water bottles and food wrappers were lying scattered near the escalator entrance at Munshipulia station.,Munshipulia,Social Media,2026-06-29 05:14:24,Pooja Sharma,9197402358,Cleanliness
"I noticed pigeon droppings on the platform bench at Badshahnagar station, nobody has cleaned it in days.",Badshahnagar,Social Media,2026-07-03 17:47:24,Pooja Sharma,9777129422,Cleanliness
The dustbins at Charbagh station were overflowing and the smell was really bad near the ticket counter.,Charbagh,Helpline Call,2026-06-28 20:29:24,Pooja Sharma,9150017772,Cleanliness
Paan stains on the stairs near gate 1 of Hazratganj station make it slippery and unhygienic.,Hazratganj,Social Media,2026-06-12 21:17:24,Sneha Gupta,9713013910,Cleanliness
"Train floor was sticky, looked like something had spilled and was never mopped up.",Sachivalaya,App,2026-05-30 18:47:24,Vikas Yadav,9499858816,Cleanliness
"The AC vents inside the coach have visible dust buildup, could be a health concern for regular commuters.",Durgapuri,Counter/In-person,2026-06-28 06:00:24,Imran Ali,9830573909,Cleanliness
"Spider webs in the corner of the ticket counter area at Krishna Nagar station, hasn't been cleaned in a long time.",Krishna Nagar,App,2026-06-13 00:01:24,Shreya Agarwal,9488246102,Cleanliness
"Kindly look into the cleanliness of platform 2 at IT College station, cigarette butts everywhere despite it being a no-smoking zone.",IT College (IT Chauraha),Email,2026-06-30 01:44:24,Pooja Sharma,9187891151,Cleanliness
"Trains on the north-south corridor are running nearly 12 minutes apart during evening peak hours, way too infrequent.",Hussainganj,App,2026-06-22 01:49:24,,,Delay & Frequency
I missed an important meeting because the train at Singar Nagar station didn't arrive for almost 25 minutes with zero announcement.,Singar Nagar,Email,2026-06-14 21:10:24,Ankit Srivastava,9277126709,Delay & Frequency
"Service was unusually slow today, three trains passed on the opposite track before mine finally showed up.",Bhootnath Market / Indira Nagar,Counter/In-person,2026-06-29 02:32:24,Rohit Verma,9920951719,Delay & Frequency
"There is no consistency in timing on weekends, sometimes I wait 8 minutes, sometimes 20.",Mawaiya,App,2026-05-30 00:41:24,Shreya Agarwal,9173833652,Delay & Frequency
Train halted for nearly 7 minutes between Durgapuri and Mawaiya with no explanation given over the speaker.,Durgapuri,Helpline Call,2026-06-30 06:29:24,Neha Tiwari,9794849312,Delay & Frequency
"Frequency during college hours near Vishwavidyalaya station is simply not enough, platforms get very congested while waiting.",Vishwavidyalaya (Lucknow University),Counter/In-person,2026-06-15 16:40:24,,,Delay & Frequency
"Last train timing needs review, I almost got stranded at Transport Nagar station last night as it left earlier than the app showed.",Transport Nagar,Counter/In-person,2026-05-27 23:00:24,Sneha Gupta,9630098818,Delay & Frequency
"The metro app showed 4 minutes but the actual train arrived after nearly 15, please fix the live tracking.",Lekhraj Market,App,2026-06-19 07:16:24,Pooja Sharma,9527239380,Delay & Frequency
"Repeated delays this whole week on my daily commute from Amausi, starting to affect my office attendance.",Amausi,Email,2026-06-02 06:06:24,Rahul Chauhan,9398327495,Delay & Frequency
Why is the first train of the day at CCS Airport station always 5-6 minutes late? This defeats the purpose of an early departure.,CCS Airport,App,2026-07-07 04:25:24,Ankit Srivastava,9485227600,Delay & Frequency
"An unattended black backpack has been sitting near the ticket vending machines at Hussainganj station for over 20 minutes, nobody has checked it.",Hussainganj,Email,2026-07-05 23:11:24,Faraz Ahmad,9349061789,Security & Safety
